URL: /
Timestamp: Thu Oct 06 2022 06:56:34 GMT-0700 (Pacific Daylight Time)

URL: /favicon.ico
Timestamp: Thu Oct 06 2022 06:56:35 GMT-0700 (Pacific Daylight Time)

URL: /documentation
Timestamp: Thu Oct 06 2022 06:56:46 GMT-0700 (Pacific Daylight Time)

URL: /
Timestamp: Thu Oct 06 2022 08:12:43 GMT-0700 (Pacific Daylight Time)

URL: /favicon.ico
Timestamp: Thu Oct 06 2022 08:12:43 GMT-0700 (Pacific Daylight Time)

URL: /documentation
Timestamp: Thu Oct 06 2022 08:17:29 GMT-0700 (Pacific Daylight Time)

URL: /favicon.ico
Timestamp: Thu Oct 06 2022 08:17:30 GMT-0700 (Pacific Daylight Time)

URL: /dmkfk
Timestamp: Thu Oct 06 2022 08:17:39 GMT-0700 (Pacific Daylight Time)

URL: /favicon.ico
Timestamp: Thu Oct 06 2022 08:17:39 GMT-0700 (Pacific Daylight Time)

::1 - - [19/Oct/2022:18:35:25 +0000] "DELETE /user/id HTTP/1.1" 500 16
::1 - - [19/Oct/2022:18:35:30 +0000] "PUT /user/1 HTTP/1.1" 404 145
::1 - - [19/Oct/2022:18:35:48 +0000] "PUT /user/id HTTP/1.1" 404 146
::1 - - [19/Oct/2022:18:38:58 +0000] "PUT /user/1 HTTP/1.1" 404 145
::1 - - [19/Oct/2022:18:39:51 +0000] "PUT /user/1/info HTTP/1.1" 404 150
::1 - - [19/Oct/2022:18:39:58 +0000] "PUT /user/id/info HTTP/1.1" 404 151
::1 - - [19/Oct/2022:18:40:18 +0000] "PUT /user/1/info HTTP/1.1" 404 150
::1 - - [19/Oct/2022:18:51:14 +0000] "GET /movies/The%20Godfather HTTP/1.1" 200 -
::1 - - [19/Oct/2022:18:51:25 +0000] "GET /movies HTTP/1.1" 200 277
::1 - - [19/Oct/2022:18:51:36 +0000] "GET /genre HTTP/1.1" 200 51
::1 - - [19/Oct/2022:18:51:42 +0000] "GET /directors/Frank%20Darabont HTTP/1.1" 200 58
::1 - - [19/Oct/2022:18:52:11 +0000] "POST /user HTTP/1.1" 400 28
::1 - - [19/Oct/2022:18:52:41 +0000] "PUT /user/Alyssa%20K/info HTTP/1.1" 404 159
::1 - - [19/Oct/2022:18:53:18 +0000] "PUT /user/Alyssa%20K/info HTTP/1.1" 404 159
::1 - - [19/Oct/2022:18:54:37 +0000] "PUT /user/Alyssa%20K/username HTTP/1.1" 404 163
::1 - - [19/Oct/2022:18:54:57 +0000] "DELETE /user/1 HTTP/1.1" 500 16
